network_address,name
2.57.3.0/24,Enteghal Dadeh Mahan Co. PJSC
2.144.0.0/17,Iran Cell Service and Communication Company
2.144.128.0/18,Iran Cell Service and Communication Company
2.144.192.0/19,Iran Cell Service and Communication Company
2.144.224.0/20,Iran Cell Service and Communication Company
2.144.240.0/22,Iran Cell Service and Communication Company
2.144.244.0/30,Iran Cell Service and Communication Company
2.144.244.4/32,Iran Cell Service and Communication Company
2.144.244.6/31,Iran Cell Service and Communication Company
2.144.244.8/29,Iran Cell Service and Communication Company
2.144.244.16/28,Iran Cell Service and Communication Company
2.144.244.32/27,Iran Cell Service and Communication Company
2.144.244.64/26,Iran Cell Service and Communication Company
2.144.244.128/25,Iran Cell Service and Communication Company
2.144.245.0/24,Iran Cell Service and Communication Company
2.144.246.0/24,Iran Cell Service and Communication Company
2.144.247.0/28,Iran Cell Service and Communication Company
2.144.247.16/29,Iran Cell Service and Communication Company
2.144.247.24/30,Iran Cell Service and Communication Company
2.144.247.28/31,Iran Cell Service and Communication Company
2.144.247.30/32,Iran Cell Service and Communication Company
2.144.247.32/27,Iran Cell Service and Communication Company
2.144.247.64/26,Iran Cell Service and Communication Company
2.144.247.128/25,Iran Cell Service and Communication Company
2.144.248.0/21,Iran Cell Service and Communication Company
2.145.0.0/16,Iran Cell Service and Communication Company
2.146.0.0/15,Iran Cell Service and Communication Company
2.176.0.0/15,Iran Telecommunication Company PJS
2.178.0.0/16,Iran Telecommunication Company PJS
2.179.0.0/17,Iran Telecommunication Company PJS
2.179.128.0/19,Iran Telecommunication Company PJS
2.179.160.0/21,Iran Telecommunication Company PJS
2.179.168.0/24,Information Technology Company (ITC)
2.179.169.0/24,Iran Telecommunication Company PJS
2.179.170.0/24,Iran Telecommunication Company PJS
2.179.171.0/24,Information Technology Company (ITC)
2.179.172.0/22,Iran Telecommunication Company PJS
2.179.176.0/20,Iran Telecommunication Company PJS
2.179.192.0/18,Iran Telecommunication Company PJS
2.180.0.0/20,Iran Telecommunication Company PJS
2.180.16.0/21,Iran Telecommunication Company PJS
2.180.24.0/23,Iran Telecommunication Company PJS
2.180.26.0/24,Iran Telecommunication Company PJS
2.180.27.0/27,Iran Telecommunication Company PJS
2.180.27.32/29,Iran Telecommunication Company PJS
2.180.27.41/32,Iran Telecommunication Company PJS
2.180.27.42/31,Iran Telecommunication Company PJS
2.180.27.44/30,Iran Telecommunication Company PJS
2.180.27.48/28,Iran Telecommunication Company PJS
2.180.27.64/26,Iran Telecommunication Company PJS
2.180.27.128/25,Iran Telecommunication Company PJS
2.180.28.0/22,Iran Telecommunication Company PJS
2.180.32.0/21,Iran Telecommunication Company PJS
2.180.40.0/22,Iran Telecommunication Company PJS
2.180.44.0/25,Iran Telecommunication Company PJS
2.180.44.128/28,Iran Telecommunication Company PJS
2.180.44.144/30,Iran Telecommunication Company PJS
2.180.44.148/31,Iran Telecommunication Company PJS
2.180.44.150/32,Iran Telecommunication Company PJS
2.180.44.152/29,Iran Telecommunication Company PJS
2.180.44.160/27,Iran Telecommunication Company PJS
2.180.44.192/26,Iran Telecommunication Company PJS
2.180.45.0/24,Iran Telecommunication Company PJS
2.180.46.0/23,Iran Telecommunication Company PJS
2.180.48.0/20,Iran Telecommunication Company PJS
2.180.64.0/18,Iran Telecommunication Company PJS
2.180.128.0/18,Iran Telecommunication Company PJS
2.180.192.0/20,Iran Telecommunication Company PJS
2.180.208.0/22,Iran Telecommunication Company PJS
2.180.212.0/23,Iran Telecommunication Company PJS
2.180.214.0/24,Iran Telecommunication Company PJS
2.180.215.0/25,Iran Telecommunication Company PJS
2.180.215.128/26,Iran Telecommunication Company PJS
2.180.215.192/28,Iran Telecommunication Company PJS
2.180.215.208/29,Iran Telecommunication Company PJS
2.180.215.216/30,Iran Telecommunication Company PJS
2.180.215.221/32,Iran Telecommunication Company PJS
2.180.215.222/31,Iran Telecommunication Company PJS
2.180.215.224/27,Iran Telecommunication Company PJS
2.180.216.0/21,Iran Telecommunication Company PJS
2.180.224.0/19,Iran Telecommunication Company PJS
2.181.0.0/17,Iran Telecommunication Company PJS
2.181.128.0/18,Iran Telecommunication Company PJS
2.181.192.0/23,Information Technology Company (ITC)
2.181.194.0/23,Iran Telecommunication Company PJS
2.181.196.0/22,Iran Telecommunication Company PJS
2.181.200.0/21,Iran Telecommunication Company PJS
2.181.208.0/21,Iran Telecommunication Company PJS
2.181.216.0/22,Iran Telecommunication Company PJS
2.181.220.0/23,Iran Telecommunication Company PJS
2.181.222.0/24,Information Technology Company (ITC)
2.181.223.0/24,Information Technology Company (ITC)
2.181.224.0/19,Iran Telecommunication Company PJS
